  PID TTY      STAT   TIME COMMAND
 4353 ?        Ssl   23:41 /usr/bin/java -XX:+UseParNewGC -XX:+UseConcMarkSweepGC -XX:CMSInitiatingOccupancyFraction=75 -XX:+UseCMSInitiatingOccupancyOnly -XX:+DisableExplicitGC -Djava.awt.headless=true -Dfile.encoding=UTF-8 -XX:+HeapDu
 4838 ?        Sl     0:00 /usr/bin/docker-proxy -proto tcp -host-ip 0.0.0.0 -host-port 7001 -container-ip 172.18.0.7 -container-port 7001
 4843 ?        Sl     0:00 docker-containerd-shim dac448b6cec95846210c2e00074cdb4a0751bdc5105f536d0105805a6651c83b /var/run/docker/libcontainerd/dac448b6cec95846210c2e00074cdb4a0751bdc5105f536d0105805a6651c83b docker-runc
 4861 ?        Ssl    1:23 java -jar -Dcom.sun.management.jmxremote.local.only=false -Dcom.sun.management.jmxremote=true -Dcom.sun.management.jmxremote.authenticate=false -Dcom.sun.management.jmxremote.ssl=false -Dcom.sun.management.jmx
 5391 ?        Sl     0:00 /usr/bin/docker-proxy -proto tcp -host-ip 0.0.0.0 -host-port 8002 -container-ip 172.18.0.8 -container-port 8002
 5403 ?        Sl     0:00 docker-containerd-shim be3464392ddd764550c167a1759218660e29672400b0297a998f5ba9c0ea8733 /var/run/docker/libcontainerd/be3464392ddd764550c167a1759218660e29672400b0297a998f5ba9c0ea8733 docker-runc
 5423 ?        Ssl    4:59 java -jar -Dcom.sun.management.jmxremote.local.only=false -Dcom.sun.management.jmxremote=true -Dcom.sun.management.jmxremote.authenticate=false -Dcom.sun.management.jmxremote.ssl=false -Dcom.sun.management.jmx
 5424 ?        Sl     0:00 /usr/bin/docker-proxy -proto tcp -host-ip 0.0.0.0 -host-port 8001 -container-ip 172.18.0.9 -container-port 8001
 5443 ?        Sl     0:00 docker-containerd-shim 11899569f30a82362e24dd36d11cd17decd5bf0a2f46c8457fd5e64954da1e06 /var/run/docker/libcontainerd/11899569f30a82362e24dd36d11cd17decd5bf0a2f46c8457fd5e64954da1e06 docker-runc
 5472 ?        Ssl    5:11 java -jar -Dcom.sun.management.jmxremote.local.only=false -Dcom.sun.management.jmxremote=true -Dcom.sun.management.jmxremote.authenticate=false -Dcom.sun.management.jmxremote.ssl=false -Dcom.sun.management.jmx
 5502 ?        S      0:15 [kworker/3:2]
 6691 ?        Sl     0:00 /usr/bin/docker-proxy -proto tcp -host-ip 0.0.0.0 -host-port 7777 -container-ip 172.18.0.10 -container-port 7777
 6698 ?        Sl     0:00 docker-containerd-shim f6898f5e6319f102bf4c55df968ceb685b36b6f82f9f7a10804cab981de9f04b /var/run/docker/libcontainerd/f6898f5e6319f102bf4c55df968ceb685b36b6f82f9f7a10804cab981de9f04b docker-runc
 6716 ?        Ssl    2:30 java -jar -Dcom.sun.management.jmxremote.local.only=false -Dcom.sun.management.jmxremote=true -Dcom.sun.management.jmxremote.authenticate=false -Dcom.sun.management.jmxremote.ssl=false -Dcom.sun.management.jmx
 7460 ?        Sl     0:00 docker-containerd-shim 771663d085d30d7ba08e1c8f32f0022e4c329e59cd27314e6272edc640c1db52 /var/run/docker/libcontainerd/771663d085d30d7ba08e1c8f32f0022e4c329e59cd27314e6272edc640c1db52 docker-runc
 7480 ?        Ssl    1:34 java -jar -Dcom.sun.management.jmxremote.local.only=false -Dcom.sun.management.jmxremote=true -Dcom.sun.management.jmxremote.authenticate=false -Dcom.sun.management.jmxremote.ssl=false -Dcom.sun.management.jmx
 7561 ?        Sl     0:00 /usr/bin/docker-proxy -proto tcp -host-ip 0.0.0.0 -host-port 8990 -container-ip 172.18.0.12 -container-port 8990
 7636 ?        Sl     0:00 /usr/bin/docker-proxy -proto tcp -host-ip 0.0.0.0 -host-port 8989 -container-ip 172.18.0.12 -container-port 8989
 7655 ?        Sl     0:00 /usr/bin/docker-proxy -proto tcp -host-ip 0.0.0.0 -host-port 9999 -container-ip 172.18.0.14 -container-port 9999
 7662 ?        Sl     0:00 docker-containerd-shim 98082bd10e14a956f9b212ba0c513472c8bd839912afad72a1110a4c0cf5f05d /var/run/docker/libcontainerd/98082bd10e14a956f9b212ba0c513472c8bd839912afad72a1110a4c0cf5f05d docker-runc
 7681 ?        Ssl    1:36 java -jar -Dcom.sun.management.jmxremote.local.only=false -Dcom.sun.management.jmxremote=true -Dcom.sun.management.jmxremote.authenticate=false -Dcom.sun.management.jmxremote.ssl=false -Dcom.sun.management.jmx
 7713 ?        Sl     0:00 docker-containerd-shim e56894b6a5b25008b9df9b694101d83584e3b8b3a03eb70d9535ba5cfeca1225 /var/run/docker/libcontainerd/e56894b6a5b25008b9df9b694101d83584e3b8b3a03eb70d9535ba5cfeca1225 docker-runc
 7715 ?        Sl     0:00 docker-containerd-shim 3f2b1c2abd04f06f06966521f8852702ad21174424e7557eae4100b9e3788e3e /var/run/docker/libcontainerd/3f2b1c2abd04f06f06966521f8852702ad21174424e7557eae4100b9e3788e3e docker-runc
 7723 ?        Sl     0:00 docker-containerd-shim 7a15ab63b7e898250866ec611e90f9258e9eead98111291a5631f10439d1341b /var/run/docker/libcontainerd/7a15ab63b7e898250866ec611e90f9258e9eead98111291a5631f10439d1341b docker-runc
 7775 ?        Ssl    3:54 java -jar -Dcom.sun.management.jmxremote.local.only=false -Dcom.sun.management.jmxremote=true -Dcom.sun.management.jmxremote.authenticate=false -Dcom.sun.management.jmxremote.ssl=false -Dcom.sun.management.jmx
 7783 ?        Ssl    3:19 java -jar -Dcom.sun.management.jmxremote.local.only=false -Dcom.sun.management.jmxremote=true -Dcom.sun.management.jmxremote.authenticate=false -Dcom.sun.management.jmxremote.ssl=false -Dcom.sun.management.jmx
 7794 ?        Ssl    1:38 java -jar -Dcom.sun.management.jmxremote.local.only=false -Dcom.sun.management.jmxremote=true -Dcom.sun.management.jmxremote.authenticate=false -Dcom.sun.management.jmxremote.ssl=false -Dcom.sun.management.jmx
 9689 ?        S      0:03 [kworker/u8:2]
11371 ?        Sl     2:01 docker-containerd-shim 8dbf9095e12b580ad35611aa137af921c1005d503175bd74927e77412f7efd54 /var/run/docker/libcontainerd/8dbf9095e12b580ad35611aa137af921c1005d503175bd74927e77412f7efd54 docker-runc
11414 ?        Ssl    7:58 java -jar -Dcom.sun.management.jmxremote.local.only=false -Dcom.sun.management.jmxremote=true -Dcom.sun.management.jmxremote.authenticate=false -Dcom.sun.management.jmxremote.ssl=false -Dcom.sun.management.jmx
11440 ?        Sl     0:00 /usr/bin/docker-proxy -proto tcp -host-ip 0.0.0.0 -host-port 5555 -container-ip 172.18.0.17 -container-port 5555
11459 ?        Sl     0:00 docker-containerd-shim 7cabfc3cafaf497f48025d37bcd7af64419750507dd26f7640362c708ea3bd2e /var/run/docker/libcontainerd/7cabfc3cafaf497f48025d37bcd7af64419750507dd26f7640362c708ea3bd2e docker-runc
11485 ?        Ssl    2:16 java -jar -Dcom.sun.management.jmxremote.local.only=false -Dcom.sun.management.jmxremote=true -Dcom.sun.management.jmxremote.authenticate=false -Dcom.sun.management.jmxremote.ssl=false -Dcom.sun.management.jmx
12151 ?        Sl     0:00 /usr/bin/docker-proxy -proto tcp -host-ip 0.0.0.0 -host-port 8088 -container-ip 172.18.0.18 -container-port 8088
12158 ?        Sl     0:00 docker-containerd-shim 60841942363af0437f091827a8b9e760af710c8e92ab6f3b32ee3357882ca316 /var/run/docker/libcontainerd/60841942363af0437f091827a8b9e760af710c8e92ab6f3b32ee3357882ca316 docker-runc
12176 ?        Ssl    1:33 java -jar -Dcom.sun.management.jmxremote.local.only=false -Dcom.sun.management.jmxremote=true -Dcom.sun.management.jmxremote.authenticate=false -Dcom.sun.management.jmxremote.ssl=false -Dcom.sun.management.jmx
17856 pts/0    R+     0:00 ps -ax
